index,AcX,AcY,AcZ,tmp,GyX,GyY,GyZ,C,R,G,B,PPM,Pitch,Roll,Yaw
0,908,-144,16380,-1680,-540,5,-189,17696,137,224,245,965,3.1725548641884442,-0.5023769361017931,44.956056870937715
1,940,-184,16344,-1648,-517,5,-189,17696,137,224,245,965,3.291475521764487,-0.64340962307877,44.95269660461452
2,25,-215,17666,4829,7289,7881,965,0,129,224,245,965,0.08066063664610054,-0.6968583266286666,44.99997160740708
3,812,-84,16460,-1664,-169,120,-171,17716,137,224,245,965,2.823460562267124,-0.2915040915032382,44.965200914779096
4,1756,324,15724,-1664,304,521,-150,18030,135,224,246,965,6.370537275184684,1.1726024033035278,44.82248026941702
5,1064,-184,15964,-1680,-1115,-445,-320,25256,109,212,248,965,3.812356839353047,-0.6583522339399058,44.9365279831186
6,2764,-44,17440,-1648,-1007,-2674,115,29999,100,207,249,965,9.00516874226594,-0.1422723316134522,44.64470521859668
7,-2012,492,15752,-1680,-2438,6949,1629,26764,107,210,249,965,-7.274817506902376,1.7738800994164465,44.76823548802556
8,-3892,-1900,15052,-1680,-1401,-2429,-775,39031,92,203,251,965,-14.387536534004594,-6.9676652451291305,44.073208529726635
9,-896,-2568,15576,-1696,-552,-5911,-3367,36962,96,205,250,965,-3.248169881929435,-9.346781537751482,44.95268972589083
10,4372,-4352,16692,-1728,-758,142,170,27888,110,212,249,965,14.221647256968861,-14.155226176454226,44.04981192623217
11,5252,-4208,14632,-1712,-111,-1802,-1466,17973,143,230,246,965,19.031809140130743,-15.145956195679306,43.265248775907935
12,7112,-5192,14268,-1728,-1867,-351,617,16599,151,234,245,965,25.098364458493773,-18.03860427322021,41.82800189523847
13,6464,-5100,14500,-1696,-809,-623,-387,15716,159,238,244,965,22.80816361717616,-17.80960720741686,42.407245637282735
14,7616,-6088,13488,-1728,540,959,-954,15482,162,239,244,965,27.232565467225655,-21.456586687966556,41.04857958949008
15,5648,-2132,13404,-1696,3596,959,-954,15482,162,239,244,965,22.594029436560778,-8.33811113228424,42.661543162844964
16,-12281,-16139,9787,7186,29721,-15079,3,768,162,239,244,965,-33.050069729179604,-45.78345003180249,31.93241460103003
17,4344,-680,15972,-1712,4472,4798,-2721,16904,146,231,245,965,15.201583383183298,-2.3525457641638092,43.978062801298606
18,2140,1192,16640,-1712,-842,2566,615,20083,127,222,247,965,7.3098207232276655,4.06330827592283,44.765030394575135
19,-1720,1624,16336,-1728,2641,2385,704,25826,109,211,249,965,-5.981241386684539,5.645750703349371,44.84208073531826
20,-1332,5024,14968,-1728,2405,-8,-916,38067,89,202,251,965,-4.821594330129554,18.48578634282098,44.88704690112935
21,-1328,6212,14348,-1712,1575,1042,-639,41710,84,199,251,965,-4.8547605732066215,23.320734192968928,44.87782262165411
22,-2212,6852,14648,-1744,273,1943,382,44490,82,198,251,965,-7.7882045467470675,24.821568332825482,44.67708743357686
23,-2760,7740,14192,-1728,618,854,525,47190,80,196,251,965,-9.689071670080956,28.1626120155315,44.468265475764376
24,-3428,6580,15324,-1744,-5099,-794,2164,50386,78,195,252,965,-11.615451408386232,22.73560213830977,44.300631412319945
25,396,4028,15596,-1744,-1709,-6861,275,49730,78,196,252,965,1.4079450645447522,14.476851489485457,44.99077285422217
26,6064,4900,13760,-1744,1366,-6249,-1588,23998,113,213,248,965,22.545746335598402,18.04899813310403,42.4611113502868
27,6980,6160,13912,-1744,627,-1585,-194,15987,147,231,244,965,24.644250356645838,21.592100344520134,41.79056481487246
28,7708,6368,13080,-1728,286,-578,-376,15137,155,236,243,965,27.916328648493657,22.75490510793112,40.74607680114833
29,6612,5316,14092,-1792,-4434,5156,1985,14952,159,239,243,965,23.701351670891448,18.855604735542748,42.15467460542166
30,6120,1076,16368,-1760,-4873,388,3120,15562,162,238,243,965,20.46035975075401,3.523194485981367,43.12697845952778
31,7365,965,0,-1789,-4873,388,3120,15562,162,238,243,965,82.53618867917214,7.4638113208278725,0.0
32,3652,-476,16008,-1808,-2087,1901,470,18390,136,226,246,965,12.845141365627072,-1.660208048652129,44.273401236393276
33,3212,-1588,15848,-1808,-1019,1568,-127,19382,134,225,246,965,11.400991227923889,-5.608610976186643,44.42348177718532
34,464,-692,16444,-1808,1438,3337,-1960,20819,130,222,247,965,1.614337200776559,-2.4080640526705452,44.98860718576915
35,-144,-992,16220,-1776,-1084,-272,99,28056,109,211,249,965,-0.5071638844591709,-3.4989377949474596,44.99887347619924
36,-2636,-232,15484,-1808,-1048,-272,99,28056,109,211,249,965,-9.660086718398686,-0.8454980349249571,44.590806294096105
37,1049,-79,-32548,7365,13365,15752,965,0,104,211,249,965,1.8459175859592862,-0.1389500916602588,-44.98512970202606
